match_id,duration,win_team,score_r,score_d,skill,w1,w2,w3,w4,w5,l1,l2,l3,l4,l5
6374093605,3205,0,44,35,,Mirana,Spirit Breaker,Dazzle,Zeus,Templar Assassin,Dark Willow,Treant Protector,Windranger,Bristleback,Anti-Mage
6374093612,2671,0,47,26,,Venomancer,Silencer,Zeus,Bristleback,Wraith King,Techies,Leshrac,Phantom Assassin,Shadow Fiend,Sniper
6374093615,2172,0,66,40,,Ogre Magi,Undying,Ursa,Morphling,Marci,Grimstroke,Pangolier,Tidehunter,Luna,Skywrath Mage
6374093618,1567,0,35,16,,Tinker,Jakiro,Luna,Bristleback,Sniper,Lina,Lion,Brewmaster,Medusa,Void Spirit
6374093619,2235,0,41,30,,Disruptor,Ogre Magi,Brewmaster,Morphling,Faceless Void,Pudge,Dazzle,Tidehunter,Spectre,Tinker
6374093703,2592,0,26,30,,Bristleback,Lina,Sniper,Anti-Mage,Puck,Techies,Storm Spirit,Tidehunter,Phantom Assassin,Winter Wyvern
6374093716,2929,0,42,45,,Tusk,Faceless Void,Bounty Hunter,Slardar,Sniper,Queen of Pain,Snapfire,Shadow Shaman,Medusa,Jakiro
6374093717,3170,1,42,47,,Sniper,Mirana,Treant Protector,Sand King,Legion Commander,Skywrath Mage,Magnus,Chaos Knight,Shadow Demon,Luna
6374093718,2474,1,27,30,,Bane,Grimstroke,Anti-Mage,Kunkka,Batrider,Earthshaker,Crystal Maiden,Morphling,Ogre Magi,Legion Commander
6374094316,2468,1,30,55,,Keeper of the Light,Snapfire,Necrophos,Troll Warlord,Mars,Pudge,Ogre Magi,Bristleback,Sniper,Weaver
6374094317,641,0,14,4,,Chaos Knight,Outworld Devourer,Ogre Magi,Drow Ranger,Grimstroke,Shadow Shaman,Juggernaut,Monkey King,Legion Commander,Ember Spirit
6374094401,1826,1,20,54,,Marci,Queen of Pain,Juggernaut,Night Stalker,Anti-Mage,Storm Spirit,Axe,Legion Commander,Skywrath Mage,Gyrocopter
6374094412,1928,1,9,42,,Undying,Bounty Hunter,Medusa,Rubick,Phantom Assassin,Mirana,Outworld Devourer,Invoker,Elder Titan,Sniper
6374094415,2715,1,43,54,,Bloodseeker,Ursa,Tusk,Silencer,Kunkka,Pudge,Skywrath Mage,Sand King,Invoker,Faceless Void
6374094418,2544,0,45,26,,Pangolier,Snapfire,Enchantress,Witch Doctor,Leshrac,Warlock,Timbersaw,Invoker,Lion,Clinkz
6374094502,3434,1,47,50,,Disruptor,Hoodwink,Alchemist,Earthshaker,Arc Warden,Lina,Pugna,Mars,Puck,Phantom Assassin
6374095114,1273,1,10,14,,Faceless Void,Phantom Assassin,Timbersaw,Grimstroke,Lina,Spirit Breaker,Templar Assassin,Juggernaut,Winter Wyvern,Slardar
6374095119,2173,0,32,19,,Queen of Pain,Chen,Pugna,Medusa,Zeus,Windranger,Clockwerk,Faceless Void,Legion Commander,Invoker
6374095210,2217,0,33,19,,Legion Commander,Dazzle,Luna,Axe,Monkey King,Ogre Magi,Venomancer,Shadow Fiend,Vengeful Spirit,Riki
6374095213,2870,0,55,29,,Nature's Prophet,Techies,Spectre,Zeus,Bounty Hunter,Witch Doctor,Ursa,Necrophos,Lina,Queen of Pain
6374096901,2753,1,24,52,,Queen of Pain,Disruptor,Kunkka,Nyx Assassin,Arc Warden,Abaddon,Ember Spirit,Magnus,Slark,Zeus
6374096902,1377,1,16,34,,Invoker,Bounty Hunter,Windranger,Winter Wyvern,Juggernaut,Pudge,Razor,Slark,Lifestealer,Meepo
6374096904,1562,0,31,15,,Undying,Ancient Apparition,Sniper,Juggernaut,Shadow Fiend,Tusk,Lion,Sand King,Batrider,Phantom Lancer
