hid1,hid2,hero1,hero2,win_no,lose_no,game_no,win_rate
69,91,Doom,Io,1.0,0.0,1.0,1.0
81,112,Chaos Knight,Winter Wyvern,1.0,0.0,1.0,1.0
37,121,Warlock,Grimstroke,2.0,0.0,2.0,1.0
81,108,Chaos Knight,Underlord,2.0,0.0,2.0,1.0
38,47,Beastmaster,Viper,1.0,0.0,1.0,1.0
10,34,Morphling,Tinker,3.0,0.0,3.0,1.0
81,99,Chaos Knight,Bristleback,1.0,0.0,1.0,1.0
38,62,Beastmaster,Bounty Hunter,1.0,0.0,1.0,1.0
81,92,Chaos Knight,Visage,1.0,0.0,1.0,1.0
38,69,Beastmaster,Doom,1.0,0.0,1.0,1.0
38,71,Beastmaster,Spirit Breaker,1.0,0.0,1.0,1.0
38,74,Beastmaster,Invoker,1.0,0.0,1.0,1.0
38,79,Beastmaster,Shadow Demon,1.0,0.0,1.0,1.0
38,81,Beastmaster,Chaos Knight,2.0,0.0,2.0,1.0
38,93,Beastmaster,Slark,1.0,0.0,1.0,1.0
10,20,Morphling,Vengeful Spirit,4.0,0.0,4.0,1.0
38,101,Beastmaster,Skywrath Mage,2.0,0.0,2.0,1.0
10,42,Morphling,Wraith King,3.0,0.0,3.0,1.0
81,113,Chaos Knight,Arc Warden,1.0,0.0,1.0,1.0
38,121,Beastmaster,Grimstroke,2.0,0.0,2.0,1.0
37,114,Warlock,Monkey King,1.0,0.0,1.0,1.0
37,92,Warlock,Visage,1.0,0.0,1.0,1.0
10,66,Morphling,Chen,2.0,0.0,2.0,1.0
37,93,Warlock,Slark,1.0,0.0,1.0,1.0
37,94,Warlock,Medusa,3.0,0.0,3.0,1.0
10,61,Morphling,Broodmother,1.0,0.0,1.0,1.0
37,96,Warlock,Centaur Warrunner,1.0,0.0,1.0,1.0
100,135,Tusk,Dawnbreaker,1.0,0.0,1.0,1.0
10,57,Morphling,Omniknight,1.0,0.0,1.0,1.0
10,56,Morphling,Clinkz,4.0,0.0,4.0,1.0
10,55,Morphling,Dark Seer,1.0,0.0,1.0,1.0
10,54,Morphling,Lifestealer,7.0,0.0,7.0,1.0
37,102,Warlock,Abaddon,1.0,0.0,1.0,1.0
37,103,Warlock,Elder Titan,2.0,0.0,2.0,1.0
37,110,Warlock,Phoenix,1.0,0.0,1.0,1.0
37,112,Warlock,Winter Wyvern,1.0,0.0,1.0,1.0
38,107,Beastmaster,Earth Spirit,2.0,0.0,2.0,1.0
38,128,Beastmaster,Snapfire,1.0,0.0,1.0,1.0
37,90,Warlock,Keeper of the Light,1.0,0.0,1.0,1.0
9,83,Mirana,Treant Protector,2.0,0.0,2.0,1.0
9,77,Mirana,Lycan,1.0,0.0,1.0,1.0
9,72,Mirana,Gyrocopter,3.0,0.0,3.0,1.0
40,49,Venomancer,Dragon Knight,2.0,0.0,2.0,1.0
40,52,Venomancer,Leshrac,2.0,0.0,2.0,1.0
40,55,Venomancer,Dark Seer,1.0,0.0,1.0,1.0
40,56,Venomancer,Clinkz,2.0,0.0,2.0,1.0
79,123,Shadow Demon,Hoodwink,2.0,0.0,2.0,1.0
79,113,Shadow Demon,Arc Warden,2.0,0.0,2.0,1.0
40,73,Venomancer,Alchemist,2.0,0.0,2.0,1.0
40,81,Venomancer,Chaos Knight,1.0,0.0,1.0,1.0
79,92,Shadow Demon,Visage,1.0,0.0,1.0,1.0
9,55,Mirana,Dark Seer,1.0,0.0,1.0,1.0
40,88,Venomancer,Nyx Assassin,1.0,0.0,1.0,1.0
9,53,Mirana,Nature's Prophet,1.0,0.0,1.0,1.0
40,90,Venomancer,Keeper of the Light,1.0,0.0,1.0,1.0
39,113,Queen of Pain,Arc Warden,3.0,0.0,3.0,1.0
39,110,Queen of Pain,Phoenix,6.0,0.0,6.0,1.0
80,128,Lone Druid,Snapfire,1.0,0.0,1.0,1.0
9,92,Mirana,Visage,2.0,0.0,2.0,1.0
101,112,Skywrath Mage,Winter Wyvern,1.0,0.0,1.0,1.0
101,113,Skywrath Mage,Arc Warden,3.0,0.0,3.0,1.0
9,123,Mirana,Hoodwink,1.0,0.0,1.0,1.0
39,55,Queen of Pain,Dark Seer,1.0,0.0,1.0,1.0
9,120,Mirana,Pangolier,2.0,0.0,2.0,1.0
80,112,Lone Druid,Winter Wyvern,2.0,0.0,2.0,1.0
9,114,Mirana,Monkey King,3.0,0.0,3.0,1.0
39,59,Queen of Pain,Huskar,3.0,0.0,3.0,1.0
39,61,Queen of Pain,Broodmother,1.0,0.0,1.0,1.0
9,107,Mirana,Earth Spirit,1.0,0.0,1.0,1.0
39,66,Queen of Pain,Chen,2.0,0.0,2.0,1.0
9,101,Mirana,Skywrath Mage,3.0,0.0,3.0,1.0
39,77,Queen of Pain,Lycan,2.0,0.0,2.0,1.0
80,106,Lone Druid,Ember Spirit,1.0,0.0,1.0,1.0
39,89,Queen of Pain,Naga Siren,3.0,0.0,3.0,1.0
10,69,Morphling,Doom,2.0,0.0,2.0,1.0
37,83,Warlock,Treant Protector,1.0,0.0,1.0,1.0
49,121,Dragon Knight,Grimstroke,3.0,0.0,3.0,1.0
34,100,Tinker,Tusk,2.0,0.0,2.0,1.0
34,112,Tinker,Winter Wyvern,3.0,0.0,3.0,1.0
99,136,Bristleback,Marci,4.0,0.0,4.0,1.0
11,78,Shadow Fiend,Brewmaster,2.0,0.0,2.0,1.0
11,77,Shadow Fiend,Lycan,1.0,0.0,1.0,1.0
34,135,Tinker,Dawnbreaker,1.0,0.0,1.0,1.0
35,38,Sniper,Beastmaster,2.0,0.0,2.0,1.0
35,55,Sniper,Dark Seer,2.0,0.0,2.0,1.0
83,107,Treant Protector,Earth Spirit,1.0,0.0,1.0,1.0
11,61,Shadow Fiend,Broodmother,1.0,0.0,1.0,1.0
11,60,Shadow Fiend,Night Stalker,3.0,0.0,3.0,1.0
83,105,Treant Protector,Techies,1.0,0.0,1.0,1.0
11,56,Shadow Fiend,Clinkz,2.0,0.0,2.0,1.0
